id_evento,equipe,periodo,tempo_video,tempo_segundos,tipo_evento,jogador,descricao_evento,resultado_finalizacao,pe_finalizacao,regiao_quadra,regiao_baliza,lado_escanteio,tipo_infracao,jogador_adversario_sofreu,tipo_cartao,motivo_cartao,eh_gol,prob_gol_logistico,previsao_logistica
1,arouca,primeiro_tempo,12:56,776,finalizacao,mateu,finalizacao defendida pelo goleiro,defendido,esquerdo,centro,desconhecido,NA,NA,NA,NA,NA,0,2.9007014654675266e-12,0
2,arouca,primeiro_tempo,12:58,778,finalizacao,zé coutinho,finalizacao interceptada pela defesa,interceptado,direito,lateral,desconhecido,NA,NA,NA,NA,NA,0,5.881940806033972e-12,0
5,arouca,primeiro_tempo,14:09,849,finalizacao,mateu,finalizacao interceptada pela defesa,interceptado,esquerdo,frontal,desconhecido,NA,NA,NA,NA,NA,0,2.034724662931934e-11,0
6,arouca,primeiro_tempo,15:54,954,finalizacao,josué,finalizacao convertida em gol,gol,esquerdo,lateral,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999739231,1
7,arouca,primeiro_tempo,21:10,1270,finalizacao,josué,finalizacao para fora,fora,esquerdo,lateral_esquerda,desconhecido,NA,NA,NA,NA,NA,0,2.9007014654691345e-12,0
10,arouca,primeiro_tempo,22:19,1339,finalizacao,zé coutinho,finalizacao convertida em gol,gol,direito,lateral_direita,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999970993,1
12,arouca,primeiro_tempo,25:45,1545,finalizacao,zé coutinho,finalizacao interceptada pela defesa,interceptado,direito,lateral,desconhecido,NA,NA,NA,NA,NA,0,5.881940806033972e-12,0
13,arouca,primeiro_tempo,29:28,1768,finalizacao,zé coutinho,finalizacao convertida em gol,gol,direito,centro,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999906254,1
14,arouca,primeiro_tempo,31:02,1862,finalizacao,josué,finalizacao convertida em gol,gol,esquerdo,centro,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999999998,1
16,arouca,primeiro_tempo,33:53,2033,finalizacao,luca gabriel,finalizacao convertida em gol,gol,direito,area,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999970993,1
20,arouca,segundo_tempo,50:48,3048,finalizacao,josué,finalizacao para fora,fora,esquerdo,lateral,desconhecido,NA,NA,NA,NA,NA,0,1.9845236574570963e-11,0
21,arouca,segundo_tempo,51:09,3069,finalizacao,mateu,finalizacao convertida em gol,gol,direito,centro,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999970993,1
22,arouca,segundo_tempo,55:54,3354,finalizacao,mateu,finalizacao defendida pelo goleiro,defendido,esquerdo,frontal,desconhecido,NA,NA,NA,NA,NA,0,2.2204460492503126e-16,0
23,arouca,segundo_tempo,56:17,3377,finalizacao,josué,finalizacao defendida pelo goleiro,defendido,esquerdo,longa_distancia,desconhecido,NA,NA,NA,NA,NA,0,2.900701465468372e-12,0
24,arouca,segundo_tempo,58:48,3528,finalizacao,mateu,finalizacao para fora,fora,esquerdo,frontal,desconhecido,NA,NA,NA,NA,NA,0,2.2204460492503126e-16,0
26,arouca,segundo_tempo,1:00:38,3638,finalizacao,mateu,finalizacao convertida em gol,gol,esquerdo,area,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999970993,1
27,arouca,segundo_tempo,1:02:22,3742,finalizacao,josué,finalizacao convertida em gol,gol,esquerdo,centro,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999972214,1
29,arouca,segundo_tempo,1:08:06,4086,finalizacao,mateu,finalizacao para fora,fora,esquerdo,frontal,desconhecido,NA,NA,NA,NA,NA,0,2.2204460492503126e-16,0
31,arouca,segundo_tempo,1:15:14,4514,finalizacao,mateu,finalizacao convertida em gol,gol,esquerdo,area,desconhecido,NA,NA,NA,NA,NA,1,0.9999999999970993,1
